Yelp ID,Business name,Category,Average star rating,Review count,Price,Ambience,mean_compound,pct_positive,pct_negative,cluster
k2v5OE7siUCZq4SuBFDJYQ,Madglads Cafeteria,"Cafeteria, Vegetarian, Caterers",4.2,18,$,,0.569,100.0,0.0,0
h7XGZctXWRydpuBcCYH6-g,Rumbles,Burgers,3.8,5,,,,,,5
HK0SOlqr-TDA3Eu2qZ8wRA,Frk. Barners Kælder,Danish,3.5,62,$$,,0.47,71.4,14.3,6
PuwX4xp15CZLislIflpJ1Q,Japansk Restaurant Sukiyaki,Japanese,3.8,13,$$$,,0.301,71.4,0.0,2
nZsXFeMvLw5fRRCx0XIvAA,Karma Sushi,"Sushi Bars, Japanese, Asian Fusion",4.0,3,,,,,,5
Fi-PjfEHni_tS1O8cdPZsw,Jensens Bøfhus,Steakhouses,2.8,31,$,cozy,0.383,71.4,28.6,0
SRpjkfzZ9zsdaYa3Jf5tHw,Mother,"Italian, Pizza, Breakfast & Brunch",3.3,247,$$,,0.434,71.4,28.6,1
HBrBZP3EDDjR5xSvvAvZKA,The Harbour,Restaurants,3.6,5,,,,,,5
RuN5mpToZTtpnN60ENXZYA,Café Patina,Greek,5.0,4,,cozy,,,,3
oXMxaEak5xBZ_9l8Beg7yw,Pornsak,Thai,4.1,19,$$,,0.509,71.4,14.3,5
E2U5BXRTEJ8p6p83xDkQBA,Restaurant Gorilla,"Italian, French",3.6,71,$$$,cozy,0.637,85.7,0.0,2
6AbjUvWcDX-wu_7jyAwhuA,Spisehuset,Scandinavian,4.5,2,,,,,,3
PLeAFLzoq5JdY5D-IeX2cA,Itzi Pitzi Pizza,Pizza,3.6,32,$,,0.466,71.4,14.3,0
9yU5C1-eJinzEdsA8g-XEw,Leo's Pizza,Pizza,4.0,21,$,,0.476,85.7,14.3,0
VtBI8rNT8xfamFKpvm2r4w,Jolene Bar,"Dance Clubs, Restaurants",2.8,27,$$,,0.13,42.9,28.6,5
6vf30L922zoPSOGILd7kKg,Thai Home Take Away,Thai,4.3,8,$,,0.546,75.0,25.0,0
M77Zp0zQZrFIv7ILfOKDow,Sticks 'n' Sushi,Sushi Bars,3.9,50,$$,,0.703,100.0,0.0,5
CYGAwrOaS0-8idz24J8OAA,Jagger Fast Food,"American, Burgers, Fast Food",3.6,41,$,,0.521,71.4,14.3,0
C-YN61XazAU2KSyWAvZE2g,Frederik VI,"Gastropubs, Pubs, Open Sandwiches",3.8,21,$,,0.609,85.7,0.0,0
IIeOJQFvIatrp2-POVEKpA,Krøgers Have,Danish,4.1,11,$$,,0.293,42.9,28.6,5
mJoi9z_IUjkcM5AQftZR3g,Miga,"Japanese, Korean",4.2,9,$$,,0.571,100.0,0.0,3
08IO91LhxWosl94XM9qJAw,Vesterbro Bryghus,"Burgers, Brewpubs",4.5,8,,,,,,3
QRTERmWzrM39IdzwasbpLQ,Carne Famo,Italian,4.4,9,$$$,,0.565,80.0,20.0,2
1vp-75Ky5feOmFVO2etrnQ,Nimb Bar,"Champagne Bars, Scandinavian, Breakfast & Brunch",4.7,15,$$,,0.8,100.0,0.0,3
SfgJUQkdVQTQoh54Xbem7w,Papa Ramen,"Ramen, Soup",3.8,46,$,cozy,0.748,100.0,0.0,0
wawbC-_cUtlHUWQQL2atRQ,Boy's Shawarma & Kylling,"Middle Eastern, Chicken Shop",5.0,5,$,,0.626,66.7,0.0,0
9oc4qvMuoNIM14LM8XKbLg,Nicecream Copenhagen,"Organic Stores, Vegan, Ice Cream & Frozen Yogurt",4.4,8,$$$,,0.669,100.0,0.0,2
Cn1CN-m6TVDO6zn0rnG0Lg,Hija de Sanchez,"Mexican, Fast Food",4.1,62,$,,0.63,85.7,14.3,6
2xTCzUypNzs3j4zT-qFk1A,Husmann's Vinstue,"Danish, Open Sandwiches",4.9,7,$$,,0.863,100.0,0.0,3
GnSL4u2SJFL_dwV1MPVFcA,Tivolihallen,Scandinavian,4.0,13,$$,,0.71,85.7,14.3,5
ibzuyz9Oo7JJtzwX4vX3Jw,Slice of San Francisco,"Desserts, American, Mexican",4.6,89,$,,0.443,71.4,14.3,6
oVm0eGsN2bCLIWSvp-Aleg,Scandic Copenhagen,"Hotels, Scandinavian",3.6,33,$$,,0.459,85.7,0.0,5
TYCTIlkJ_bPFTJQW_o9Qtg,Hansens Gamle Familiehave,Scandinavian,3.8,14,$$,,0.211,40.0,20.0,5
ETqWLBffUYn6_8sLL7Lw7A,Restaurant Royal Garden,Dim Sum,4.0,49,$$,cozy,0.318,57.1,42.9,5
qIiMq_2vrtpA_6ABFAL3jQ,Færgekroen Bryghus,"Danish, Breweries",3.4,21,$$,,0.467,71.4,14.3,5
NsbGX5K0Xw1pV2-00L3fvA,Poulet,"Salad, Chicken Shop",5.0,3,,,,,,3
X7VnGhCxI4pIAVjqNyW7TA,Bento,Japanese,4.2,50,$$,,0.693,85.7,0.0,5
pe5FWVars1vxlBip14N25w,Tommi's Burger Joint,Burgers,4.0,103,$,,0.596,85.7,14.3,6
r1zHu9qILM03inumhl_r9w,Sanchez,Mexican,3.6,33,,,,,,5
6vmoOjHsxxT2VrsrarfFsQ,Al-Diwan,"Pakistani, Indian, Halal",4.2,52,$$,,0.622,100.0,0.0,5
PE3v_Nt2omdkfjdwz7qiPQ,Hatoba,Japanese,4.5,30,$$,,0.83,100.0,0.0,3
t7r898m6zBYLK1_yUtzyRw,Vaffelbageriet,"Desserts, Ice Cream & Frozen Yogurt, Waffles",4.1,7,$$,cozy,0.382,83.3,16.7,5
RJfAtO6Upq0H8C7A1K-S9g,Il Buco,Italian,4.1,22,$$,,0.42,57.1,14.3,5
8F-kZJD0469Hb_rCMm3LRQ,Encke & Duers,"Sandwiches, Vegetarian, Meat Shops",4.6,16,$,,0.838,100.0,0.0,0
K_Rkq5YuKzTH2t5vMV-lmQ,Kanal Caféen,"Open Sandwiches, Danish",4.3,21,$$,,0.565,85.7,0.0,3
0gInoPNojP0tj5QZ-Xy4CA,Fu Hao,"Dim Sum, Asian Fusion",3.6,43,$,,0.271,57.1,28.6,0
jhCfpjsM3uqJAJkYaSRbdQ,Made In Italy,"Pizza, Italian",4.9,10,$,,0.774,100.0,0.0,0
FH5jNuLDx4n0IxEIkR-wdg,La Galette,"Creperies, French",4.1,39,$,,0.708,85.7,0.0,0
OpEXzkZ9-mEnvujwXtUCUg,Hot Pot Republic,"Chinese, Pan Asian",3.8,4,,,,,,5
