Yelp ID,Business name,Category,cluster
Uns8cIbuWN4C1ZK_vjrWbQ,DØP,Organic Stores  Hot Dogs,0
Xoq_CdD8gQfBfT3D9BWa2g,Ristorante Italiano,Italian,2
hd2e7twKTCcC2wci5SBCgg,Sticks'n'Sushi,Sushi Bars  Japanese,0
FoJ8od2HPth7StHheI6KBQ,Thirion,Belgian  Specialty Food  Beer  Wine and Spirits,0
QjL97NOjhTGJSEWOrInx_Q,Restaurant Sundby Sejl,Danish,2
JEpoayQVKzku2783KEvmhg,WOK,Thai,2
4hMUT0QpONNDOl5oZBfErg,Ravelinen,Scandinavian  Landmarks and Historical Buildings  Danish,2
d3rY1WF-f8iG5n4sPSXY1Q,Era Ora,Italian,2
3cLGF7IxosZqsAGQCWB5VQ,Sankt Annæ 8,Tapas/Small Plates  Wine Bars,0
F0sNs8EDtlFzsG8KuC1vAA,Morgenstedet,Vegetarian  Organic Stores,0
WWJHA8lUxOyVcU4m1DWD9A,Foodie,Salad  Vegetarian  Sandwiches,0
jP76S8wDqTHn3_V0pAy8JQ,Almanak,Danish,2
yXY0EaxzpgTKAdrvprrZOg,Den Lille Fede,Modern European,2
qcRM9fAO8xKTR4rnCseu8Q,Nebbiolo Winebar,Wine Bars  Italian  Specialty Food,0
PCr7aIoYEPaXSB3xbBc5sg,Told og Snaps,Open Sandwiches  Danish,0
9a4oOq1hwyKFTDk3U83HHA,no. 2,Scandinavian,2
-MccMTtHoKymY_Oc4r8V7A,Restaurant AOC,Danish  Scandinavian,2
gGPVNAVIY04-YczfEwqueA,Restaurant Kanalen,Scandinavian  Modern European,2
jmVgciY1U5jVdOLGnbodkQ,Madeinitaly,Pizza  Italian  Vegetarian,0
S6yr_0zdsRqHqgqXGgTsPg,Restaurant Menuen,Restaurants,0
Vb0GkjyyzrAz0_WHDo5iTg,Diamond Rice,Dim Sum,0
864VZGzjhzBfou0mDVavYA,Kong Hans Kælder,Scandinavian  French,2
OxPp1KJrMW7lxL3179VWKA,Hos Nicola,Pizza,0
AWY_qYNqCVPjN91EKFknqw,Møller Snaps & Smørrebrød,Open Sandwiches  Danish,0
6punqTilYnTJXWMcdiUfLQ,Grillen Christianshavn,Burgers,0
-CCXF5zQN18J-Gnt6WkqkQ,Søren K,Scandinavian  Modern European,2
-kR4aAEdzHSowdwDkTETtg,Ché Fè,Italian  Organic Stores,0
09ACWaLXD6waTwWowN2wHg,Hot Buns,Burgers,0
