Yelp ID,Business name,Average star rating,Price,review_snippets,mean_compound,pct_positive,pct_neutral,pct_negative
Ff2dDJtV_p5lbqXwh8MmCQ,Cafe Bjørg's,2.8,$$,5,0.556,80.0,20.0,0.0
DWHWrI-alm85EHXJYYAoqg,Lagkagehuset,4.0,$$,7,0.554,100.0,0.0,0.0
ZaaVHy1iJGpypS-6xBkSBQ,Prolog Coffee Bar,4.8,$,7,0.554,85.7,0.0,14.3
dFUZTboFyZMZFn5Gk_TikQ,Original Coffee,4.4,$,7,0.547,100.0,0.0,0.0
vox1A9-xVbxTm-5fs_pF7Q,Café G,3.3,$$,7,0.545,85.7,0.0,14.3
q8Zdnyu4l_az04b_nxT38Q,Kafe Kys,3.8,$,7,0.544,85.7,0.0,14.3
bEodOkIJZ6I3UKDWKZNdZw,Carlton Cafe,3.4,$$,7,0.543,85.7,14.3,0.0
Vvpc_3sX6M6wsG6_9jwylw,Christianshavns Bådudlejning og Café,4.2,$$,7,0.543,85.7,14.3,0.0
I6ZCKRIwbm1DBi6mJCZ-ZA,Sonny,4.1,$,6,0.542,83.3,0.0,16.7
ck_7nu7Hem_RijPlWZmExQ,Café Plenum,3.5,$$,7,0.54,100.0,0.0,0.0
C3iuuGLleR-v0ShSfuLaew,Forloren Espresso,4.3,$,7,0.54,85.7,0.0,14.3
-YPMhMUkozKtCnqMMkgccQ,Meyers Bageri,4.5,$,7,0.539,85.7,14.3,0.0
h5e0P3dUhwFJ-HYogPaVWw,La Banchina,4.7,$,7,0.539,71.4,28.6,0.0
ljI0SE6MHLv12IsmhqGzSw,Kaffehuset 44,3.9,$,6,0.533,83.3,0.0,16.7
UMMR2DwXsktGJjkl8oVVfQ,Kaffebaren,3.5,$,3,0.53,66.7,0.0,33.3
TUXhPCybQ6e63f-jHiCM6w,Mellemrummet,4.1,$,1,0.53,100.0,0.0,0.0
pOVvdV-E1_zYxocX-oJubA,Resso Espressobar,4.1,$,5,0.526,80.0,0.0,20.0
n9x5MfdRCP2TEQrrI_YAGA,Ehlers Bageri,4.0,$$,4,0.526,100.0,0.0,0.0
7WBAoA6kAoHrjcPE62cb4g,Lagkagehuset,4.2,$$,7,0.523,85.7,0.0,14.3
ec-BcKj-bnWEFUajWj5d6A,Elly's Kaffebar,4.3,$,2,0.52,100.0,0.0,0.0
2xw3NB1EOZhRvAy1-LXasQ,Ingolfs Kaffebar,4.2,$$,7,0.519,85.7,0.0,14.3
